1600015I10Rik	ER_cst8644_DMSO_peak_735 (+19264)
Amelx	ER_cst8644_DMSO_peak_939 (+63210), ER_cst8644_DMSO_peak_938 (+63511), ER_cst8644_DMSO_peak_937 (+63897), ER_cst8644_DMSO_peak_936 (+79513), ER_cst8644_DMSO_peak_935 (+80510), ER_cst8644_DMSO_peak_934 (+80780), ER_cst8644_DMSO_peak_933 (+91435), ER_cst8644_DMSO_peak_932 (+92413), ER_cst8644_DMSO_peak_931 (+126267)
Angpt1	ER_cst8644_DMSO_peak_288 (-584), ER_cst8644_DMSO_peak_287 (+26), ER_cst8644_DMSO_peak_286 (+195), ER_cst8644_DMSO_peak_285 (+238566)
Ank	ER_cst8644_DMSO_peak_284 (-126336)
Ank2	ER_cst8644_DMSO_peak_555 (+657378)
Ankrd11	ER_cst8644_DMSO_peak_875 (+41445)
Ankrd50	ER_cst8644_DMSO_peak_521 (+368414), ER_cst8644_DMSO_peak_520 (+372069), ER_cst8644_DMSO_peak_519 (+715359)
Antxr2	ER_cst8644_DMSO_peak_685 (+12675)
Anxa2	ER_cst8644_DMSO_peak_899 (-10979), ER_cst8644_DMSO_peak_900 (+262724), ER_cst8644_DMSO_peak_901 (+303816)
Ap3b1	ER_cst8644_DMSO_peak_234 (-4188)
Apbb2	ER_cst8644_DMSO_peak_674 (+94376)
Aptx	ER_cst8644_DMSO_peak_565 (+33546)
Aqp9	ER_cst8644_DMSO_peak_902 (-2851)
Ar	ER_cst8644_DMSO_peak_927 (+143324)
Arhgap18	ER_cst8644_DMSO_peak_70 (-251420)
Arhgap29	ER_cst8644_DMSO_peak_553 (-109746), ER_cst8644_DMSO_peak_554 (-109607)
Arhgap31	ER_cst8644_DMSO_peak_335 (+33844)
Arhgap35	ER_cst8644_DMSO_peak_790 (-24250)
Arhgap6	ER_cst8644_DMSO_peak_931 (+265834), ER_cst8644_DMSO_peak_932 (+299688), ER_cst8644_DMSO_peak_933 (+300666), ER_cst8644_DMSO_peak_934 (+311321), ER_cst8644_DMSO_peak_935 (+311591), ER_cst8644_DMSO_peak_936 (+312588), ER_cst8644_DMSO_peak_937 (+328204), ER_cst8644_DMSO_peak_938 (+328590), ER_cst8644_DMSO_peak_939 (+328891)
Arid2	ER_cst8644_DMSO_peak_314 (-11551)
Arid5a	ER_cst8644_DMSO_peak_4 (-262)
Arl4d	ER_cst8644_DMSO_peak_141 (-20649), ER_cst8644_DMSO_peak_142 (-20232)
Armcx4	ER_cst8644_DMSO_peak_928 (-45274)
Arrdc3	ER_cst8644_DMSO_peak_228 (+225291)
Asah2	ER_cst8644_DMSO_peak_445 (+98180)
Asap1	ER_cst8644_DMSO_peak_302 (+18944)
Asph	ER_cst8644_DMSO_peak_564 (-13603), ER_cst8644_DMSO_peak_563 (-13427)
Asprv1	ER_cst8644_DMSO_peak_751 (-34846)
Atad1	ER_cst8644_DMSO_peak_446 (+74783)
Atg101	ER_cst8644_DMSO_peak_316 (+33850), ER_cst8644_DMSO_peak_317 (+36666)
Atp10a	ER_cst8644_DMSO_peak_800 (+78738)
Atp5g3	ER_cst8644_DMSO_peak_482 (-41417)
Atp8a1	ER_cst8644_DMSO_peak_678 (-180)
Atrnl1	ER_cst8644_DMSO_peak_459 (+802393)
Atxn1	ER_cst8644_DMSO_peak_224 (+114192)
Auts2	ER_cst8644_DMSO_peak_702 (-440119)
Avpr1a	ER_cst8644_DMSO_peak_103 (+121465)
Axdnd1	ER_cst8644_DMSO_peak_41 (+12250)
B3gnt2	ER_cst8644_DMSO_peak_112 (-31695)
B4galt4	ER_cst8644_DMSO_peak_336 (+19317), ER_cst8644_DMSO_peak_337 (+28343)
B4galt5	ER_cst8644_DMSO_peak_504 (-34672), ER_cst8644_DMSO_peak_503 (-18325)
BC048403	ER_cst8644_DMSO_peak_102 (+222252)
BC067074	ER_cst8644_DMSO_peak_242 (-25799), ER_cst8644_DMSO_peak_243 (+241704), ER_cst8644_DMSO_peak_244 (+308186)
BC106179	ER_cst8644_DMSO_peak_329 (-54725)
Babam2	ER_cst8644_DMSO_peak_665 (+68967), ER_cst8644_DMSO_peak_666 (+162553), ER_cst8644_DMSO_peak_667 (+163415), ER_cst8644_DMSO_peak_668 (+164751), ER_cst8644_DMSO_peak_669 (+379205)
Bach1	ER_cst8644_DMSO_peak_375 (-86158)
Bbx	ER_cst8644_DMSO_peak_351 (+480003)
Bcas1	ER_cst8644_DMSO_peak_507 (+82514), ER_cst8644_DMSO_peak_506 (+84413), ER_cst8644_DMSO_peak_505 (+105656)
Bcat1	ER_cst8644_DMSO_peak_787 (+46270), ER_cst8644_DMSO_peak_786 (+46520)
Bcl2l14	ER_cst8644_DMSO_peak_780 (-209823), ER_cst8644_DMSO_peak_781 (-206395)
Bend4	ER_cst8644_DMSO_peak_677 (+23705)
Bhlha9	ER_cst8644_DMSO_peak_119 (-84835)
Bhlhe40	ER_cst8644_DMSO_peak_762 (-129255), ER_cst8644_DMSO_peak_763 (-123560)
Bmp3	ER_cst8644_DMSO_peak_686 (+86312), ER_cst8644_DMSO_peak_687 (+91927), ER_cst8644_DMSO_peak_688 (+108294)
Bmper	ER_cst8644_DMSO_peak_882 (+344115), ER_cst8644_DMSO_peak_883 (+347338)
Bnc2	ER_cst8644_DMSO_peak_591 (+267702)
Brdt	ER_cst8644_DMSO_peak_690 (-35843)
Btbd11	ER_cst8644_DMSO_peak_80 (+201048)
Btla	ER_cst8644_DMSO_peak_340 (+637)
C1qtnf9	ER_cst8644_DMSO_peak_256 (-101657)
C9	ER_cst8644_DMSO_peak_273 (+123939), ER_cst8644_DMSO_peak_274 (+129424)
Cacna2d1	ER_cst8644_DMSO_peak_650 (+533930), ER_cst8644_DMSO_peak_651 (+603446), ER_cst8644_DMSO_peak_652 (+606624), ER_cst8644_DMSO_peak_653 (+607047), ER_cst8644_DMSO_peak_654 (+612786)
Cacng5	ER_cst8644_DMSO_peak_147 (-320504), ER_cst8644_DMSO_peak_146 (-308362)
Cadm1	ER_cst8644_DMSO_peak_889 (+203971)
Calcrl	ER_cst8644_DMSO_peak_492 (+55965), ER_cst8644_DMSO_peak_491 (+365936), ER_cst8644_DMSO_peak_490 (+405286), ER_cst8644_DMSO_peak_489 (+406849)
Camk1d	ER_cst8644_DMSO_peak_461 (-55225)
Camk2d	ER_cst8644_DMSO_peak_555 (+154475)
Car2	ER_cst8644_DMSO_peak_509 (-5875)
Car3	ER_cst8644_DMSO_peak_509 (+17015)
Ccar1	ER_cst8644_DMSO_peak_76 (-98983)
Ccdc110	ER_cst8644_DMSO_peak_849 (+33665)
Ccdc171	ER_cst8644_DMSO_peak_591 (+881839)
Ccdc182	ER_cst8644_DMSO_peak_133 (+3642), ER_cst8644_DMSO_peak_134 (+19623)
Ccdc25	ER_cst8644_DMSO_peak_257 (+63497), ER_cst8644_DMSO_peak_258 (+70237)
Ccdc80	ER_cst8644_DMSO_peak_338 (-68066), ER_cst8644_DMSO_peak_339 (+55212)
Ccdc88c	ER_cst8644_DMSO_peak_189 (+58940)
Ccdc90b	ER_cst8644_DMSO_peak_808 (-410068), ER_cst8644_DMSO_peak_809 (-121319), ER_cst8644_DMSO_peak_810 (-119242), ER_cst8644_DMSO_peak_811 (-118943)
Ccdc96	ER_cst8644_DMSO_peak_671 (-173)
Ccl2	ER_cst8644_DMSO_peak_123 (-126003)
Ccl5	ER_cst8644_DMSO_peak_126 (-46715), ER_cst8644_DMSO_peak_125 (-41426)
Ccl9	ER_cst8644_DMSO_peak_126 (+1403), ER_cst8644_DMSO_peak_125 (+6692)
Ccr1	ER_cst8644_DMSO_peak_919 (+40434)
Ccr2	ER_cst8644_DMSO_peak_920 (-64221), ER_cst8644_DMSO_peak_921 (-63703), ER_cst8644_DMSO_peak_922 (-63001), ER_cst8644_DMSO_peak_923 (+1302), ER_cst8644_DMSO_peak_924 (+6494)
Ccr3	ER_cst8644_DMSO_peak_920 (+15965), ER_cst8644_DMSO_peak_921 (+16483), ER_cst8644_DMSO_peak_922 (+17185)
Ccr5	ER_cst8644_DMSO_peak_923 (-18083), ER_cst8644_DMSO_peak_924 (-12891)
Ccser2	ER_cst8644_DMSO_peak_250 (+651864), ER_cst8644_DMSO_peak_249 (+652112)
Cd14	ER_cst8644_DMSO_peak_413 (+17665)
Cd180	ER_cst8644_DMSO_peak_238 (-826498), ER_cst8644_DMSO_peak_239 (-27582)
Cd200r3	ER_cst8644_DMSO_peak_338 (+81868)
Cd28	ER_cst8644_DMSO_peak_10 (-166413), ER_cst8644_DMSO_peak_11 (-147184), ER_cst8644_DMSO_peak_12 (-145605)
Cd2bp2	ER_cst8644_DMSO_peak_817 (+38175)
Cd300e	ER_cst8644_DMSO_peak_151 (-9954)
Cd300lf	ER_cst8644_DMSO_peak_151 (+61861)
Cd33	ER_cst8644_DMSO_peak_798 (-21769), ER_cst8644_DMSO_peak_797 (-21632), ER_cst8644_DMSO_peak_796 (-13012), ER_cst8644_DMSO_peak_795 (-11709)
Cd34	ER_cst8644_DMSO_peak_54 (+4885)
Cd3d	ER_cst8644_DMSO_peak_888 (+11723)
Cd3e	ER_cst8644_DMSO_peak_888 (+16104)
Cd44	ER_cst8644_DMSO_peak_498 (-90989), ER_cst8644_DMSO_peak_497 (-85579)
Cd46	ER_cst8644_DMSO_peak_54 (+148545)
Cd47	ER_cst8644_DMSO_peak_343 (-85151), ER_cst8644_DMSO_peak_344 (-80674), ER_cst8644_DMSO_peak_345 (-64542), ER_cst8644_DMSO_peak_346 (-56533), ER_cst8644_DMSO_peak_347 (-55155), ER_cst8644_DMSO_peak_348 (-48058), ER_cst8644_DMSO_peak_349 (-15464), ER_cst8644_DMSO_peak_350 (-431), ER_cst8644_DMSO_peak_351 (+96769)
Cd69	ER_cst8644_DMSO_peak_776 (-9166), ER_cst8644_DMSO_peak_775 (-548)
Cd9	ER_cst8644_DMSO_peak_773 (+2370)
Cdh15	ER_cst8644_DMSO_peak_875 (+152609)
Cdh6	ER_cst8644_DMSO_peak_282 (+306107)
Cdk17	ER_cst8644_DMSO_peak_83 (-36539)
Cdk5r1	ER_cst8644_DMSO_peak_122 (+87310)
Cdk6	ER_cst8644_DMSO_peak_615 (-191669), ER_cst8644_DMSO_peak_616 (-145460), ER_cst8644_DMSO_peak_617 (+153839), ER_cst8644_DMSO_peak_618 (+155064), ER_cst8644_DMSO_peak_619 (+157862), ER_cst8644_DMSO_peak_620 (+158829)
Cdkn2aipnl	ER_cst8644_DMSO_peak_116 (-56045)
Cdnf	ER_cst8644_DMSO_peak_460 (+145011)
Ceacam15	ER_cst8644_DMSO_peak_790 (+36462)
Cebpa	ER_cst8644_DMSO_peak_792 (+7914), ER_cst8644_DMSO_peak_793 (+37451)
Celf2	ER_cst8644_DMSO_peak_462 (+500266)
Cenpu	ER_cst8644_DMSO_peak_850 (-127)
Cep44	ER_cst8644_DMSO_peak_858 (+104022)
Cers5	ER_cst8644_DMSO_peak_315 (-74821)
Cers6	ER_cst8644_DMSO_peak_479 (-36317), ER_cst8644_DMSO_peak_480 (+11614)
Cfap54	ER_cst8644_DMSO_peak_83 (-42755)
Cggbp1	ER_cst8644_DMSO_peak_363 (-56)
Chaf1b	ER_cst8644_DMSO_peak_383 (+73565), ER_cst8644_DMSO_peak_384 (+73748), ER_cst8644_DMSO_peak_385 (+123519)
Chdh	ER_cst8644_DMSO_peak_248 (+46066)
Chn2	ER_cst8644_DMSO_peak_741 (+43088), ER_cst8644_DMSO_peak_742 (+87822)
Chrm3	ER_cst8644_DMSO_peak_211 (+107553)
Chst1	ER_cst8644_DMSO_peak_494 (+151236), ER_cst8644_DMSO_peak_495 (+151457)
Chst2	ER_cst8644_DMSO_peak_911 (+714816)
Chsy1	ER_cst8644_DMSO_peak_801 (+11316), ER_cst8644_DMSO_peak_802 (+103577), ER_cst8644_DMSO_peak_803 (+105215), ER_cst8644_DMSO_peak_804 (+109171), ER_cst8644_DMSO_peak_805 (+123764)
Cks2	ER_cst8644_DMSO_peak_225 (-165)
Cldn14	ER_cst8644_DMSO_peak_385 (+1417), ER_cst8644_DMSO_peak_384 (+51188), ER_cst8644_DMSO_peak_383 (+51371)
Clec12a	ER_cst8644_DMSO_peak_777 (+226)
Clec2e	ER_cst8644_DMSO_peak_774 (+50821)
Clec5a	ER_cst8644_DMSO_peak_729 (+9262)
Clic5	ER_cst8644_DMSO_peak_393 (+518111)
Clint1	ER_cst8644_DMSO_peak_113 (-970656)
Clmp	ER_cst8644_DMSO_peak_887 (-104124)
Cmah	ER_cst8644_DMSO_peak_219 (+151770)
Cog6	ER_cst8644_DMSO_peak_531 (+138650)
Commd3	ER_cst8644_DMSO_peak_463 (-125219)
Copz1	ER_cst8644_DMSO_peak_319 (-243), ER_cst8644_DMSO_peak_320 (-173), ER_cst8644_DMSO_peak_321 (+29376), ER_cst8644_DMSO_peak_322 (+32465), ER_cst8644_DMSO_peak_323 (+32967)
Coro2a	ER_cst8644_DMSO_peak_575 (-17429), ER_cst8644_DMSO_peak_574 (-8868)
Cpa3	ER_cst8644_DMSO_peak_515 (-1945)
Cpb2	ER_cst8644_DMSO_peak_259 (-61514)
Cpeb2	ER_cst8644_DMSO_peak_672 (-263255)
Cpt1a	ER_cst8644_DMSO_peak_432 (+11011)
Cpvl	ER_cst8644_DMSO_peak_740 (+71561)
Creb1	ER_cst8644_DMSO_peak_15 (-14084), ER_cst8644_DMSO_peak_16 (-2901)
Creb5	ER_cst8644_DMSO_peak_738 (-132374), ER_cst8644_DMSO_peak_739 (+21500)
Cryba4	ER_cst8644_DMSO_peak_693 (+716302)
Csgalnact1	ER_cst8644_DMSO_peak_861 (+127551), ER_cst8644_DMSO_peak_860 (+128347)
Csl	ER_cst8644_DMSO_peak_95 (+297907), ER_cst8644_DMSO_peak_94 (+299552), ER_cst8644_DMSO_peak_93 (+299817), ER_cst8644_DMSO_peak_92 (+317476), ER_cst8644_DMSO_peak_91 (+318391), ER_cst8644_DMSO_peak_90 (+489076), ER_cst8644_DMSO_peak_89 (+490692)
Csmd1	ER_cst8644_DMSO_peak_823 (+121628), ER_cst8644_DMSO_peak_822 (+211312)
Csnk1g3	ER_cst8644_DMSO_peak_414 (+348086), ER_cst8644_DMSO_peak_415 (+984524), ER_cst8644_DMSO_peak_416 (+988261)
Cth	ER_cst8644_DMSO_peak_561 (+224957), ER_cst8644_DMSO_peak_560 (+226329)
Ctnnb1	ER_cst8644_DMSO_peak_918 (-156618)
Ctsc	ER_cst8644_DMSO_peak_807 (+145942)
Cuedc1	ER_cst8644_DMSO_peak_131 (+41307), ER_cst8644_DMSO_peak_132 (+46547)
Cutc	ER_cst8644_DMSO_peak_453 (+18526)
Cux1	ER_cst8644_DMSO_peak_706 (+108538), ER_cst8644_DMSO_peak_705 (+156216)
Cxcl12	ER_cst8644_DMSO_peak_767 (+508021)
Cxcl15	ER_cst8644_DMSO_peak_683 (-4949)
Cxcl2	ER_cst8644_DMSO_peak_684 (-417)
Cyp26c1	ER_cst8644_DMSO_peak_449 (-123907)
Cyp2c37	ER_cst8644_DMSO_peak_450 (+762)
Cyp2d26	ER_cst8644_DMSO_peak_312 (-94353)
Cyth4	ER_cst8644_DMSO_peak_309 (+27595)
Daam1	ER_cst8644_DMSO_peak_175 (-392852)
Dab2	ER_cst8644_DMSO_peak_268 (-940037), ER_cst8644_DMSO_peak_269 (-129237), ER_cst8644_DMSO_peak_270 (-126104), ER_cst8644_DMSO_peak_271 (-51556), ER_cst8644_DMSO_peak_272 (-44897)
Dact1	ER_cst8644_DMSO_peak_175 (+128327)
Dad1	ER_cst8644_DMSO_peak_254 (+671175)
Dapp1	ER_cst8644_DMSO_peak_556 (+12621)
Dazl	ER_cst8644_DMSO_peak_394 (-176428)
Dcbld2	ER_cst8644_DMSO_peak_353 (+71828), ER_cst8644_DMSO_peak_354 (+72829), ER_cst8644_DMSO_peak_355 (+90058), ER_cst8644_DMSO_peak_356 (+93660)
Dclk1	ER_cst8644_DMSO_peak_532 (+293360), ER_cst8644_DMSO_peak_533 (+307072)
Dcp1a	ER_cst8644_DMSO_peak_248 (-424523)
Dera	ER_cst8644_DMSO_peak_783 (+63397)
Dhrs3	ER_cst8644_DMSO_peak_612 (+126436)
Dhx37	ER_cst8644_DMSO_peak_699 (+25102)
Dkk1	ER_cst8644_DMSO_peak_444 (+245733)
Dlx2	ER_cst8644_DMSO_peak_481 (-184189)
Dnah7a	ER_cst8644_DMSO_peak_8 (-67478)
Dnajb12	ER_cst8644_DMSO_peak_75 (-53929)
Dnajb6	ER_cst8644_DMSO_peak_660 (+116888), ER_cst8644_DMSO_peak_661 (+118902), ER_cst8644_DMSO_peak_662 (+211513), ER_cst8644_DMSO_peak_663 (+212778)
Dnajb8	ER_cst8644_DMSO_peak_752 (-19047)
Dnajc1	ER_cst8644_DMSO_peak_463 (-154335)
Dock4	ER_cst8644_DMSO_peak_164 (+76693)
Dopey2	ER_cst8644_DMSO_peak_380 (+106801)
Doxl2	ER_cst8644_DMSO_peak_735 (-25804)
Dpp4	ER_cst8644_DMSO_peak_477 (-48866), ER_cst8644_DMSO_peak_476 (-48198)
Drosha	ER_cst8644_DMSO_peak_282 (+42717)
Dusp10	ER_cst8644_DMSO_peak_51 (+446442), ER_cst8644_DMSO_peak_52 (+528642)
Dusp5	ER_cst8644_DMSO_peak_455 (-49364)
Dusp6	ER_cst8644_DMSO_peak_86 (-21098), ER_cst8644_DMSO_peak_87 (-324), ER_cst8644_DMSO_peak_88 (+10), ER_cst8644_DMSO_peak_89 (+5735), ER_cst8644_DMSO_peak_90 (+7351), ER_cst8644_DMSO_peak_91 (+178036), ER_cst8644_DMSO_peak_92 (+178951), ER_cst8644_DMSO_peak_93 (+196610), ER_cst8644_DMSO_peak_94 (+196875), ER_cst8644_DMSO_peak_95 (+198520)
E230025N22Rik	ER_cst8644_DMSO_peak_413 (-13146)
ENSMUSG00000109903	ER_cst8644_DMSO_peak_656 (-213236)
Ebf1	ER_cst8644_DMSO_peak_113 (+264078)
Ect2l	ER_cst8644_DMSO_peak_57 (+34017)
Eepd1	ER_cst8644_DMSO_peak_884 (+17365)
Efna5	ER_cst8644_DMSO_peak_401 (+575928), ER_cst8644_DMSO_peak_400 (+634487)
Egln3	ER_cst8644_DMSO_peak_172 (-249790), ER_cst8644_DMSO_peak_171 (-246441), ER_cst8644_DMSO_peak_170 (-5560), ER_cst8644_DMSO_peak_169 (+80), ER_cst8644_DMSO_peak_168 (+11664), ER_cst8644_DMSO_peak_167 (+15739), ER_cst8644_DMSO_peak_166 (+40947)
Eif4e3	ER_cst8644_DMSO_peak_761 (+176630)
Elfn2	ER_cst8644_DMSO_peak_310 (-2665), ER_cst8644_DMSO_peak_309 (+93471)
Elk3	ER_cst8644_DMSO_peak_84 (-112253)
Elovl5	ER_cst8644_DMSO_peak_903 (-106), ER_cst8644_DMSO_peak_904 (+93174)
Enpp6	ER_cst8644_DMSO_peak_851 (-221705), ER_cst8644_DMSO_peak_852 (-186943), ER_cst8644_DMSO_peak_853 (-175425), ER_cst8644_DMSO_peak_854 (-137793), ER_cst8644_DMSO_peak_855 (-136133), ER_cst8644_DMSO_peak_856 (-135115), ER_cst8644_DMSO_peak_857 (-134392)
Ep300	ER_cst8644_DMSO_peak_311 (-73367)
Epha4	ER_cst8644_DMSO_peak_28 (+664923)
Epm2a	ER_cst8644_DMSO_peak_56 (+19955)
Erbb4	ER_cst8644_DMSO_peak_21 (-499173), ER_cst8644_DMSO_peak_20 (-420858), ER_cst8644_DMSO_peak_19 (-405759), ER_cst8644_DMSO_peak_18 (-388200)
Ercc4	ER_cst8644_DMSO_peak_325 (+49890)
Eri1	ER_cst8644_DMSO_peak_848 (-45026)
Erlin2	ER_cst8644_DMSO_peak_842 (-38980), ER_cst8644_DMSO_peak_843 (-307)
Ern1	ER_cst8644_DMSO_peak_145 (+5953), ER_cst8644_DMSO_peak_144 (+7033)
Erp27	ER_cst8644_DMSO_peak_782 (+22925)
Esm1	ER_cst8644_DMSO_peak_242 (+57701)
Esrrg	ER_cst8644_DMSO_peak_53 (+85344)
Etaa1	ER_cst8644_DMSO_peak_111 (-971139), ER_cst8644_DMSO_peak_110 (-929834)
Etnk1	ER_cst8644_DMSO_peak_785 (+181936)
Etv6	ER_cst8644_DMSO_peak_780 (+150795), ER_cst8644_DMSO_peak_781 (+154223)
Evx1	ER_cst8644_DMSO_peak_737 (+158102)
Exoc6	ER_cst8644_DMSO_peak_449 (+11256)
Eya3	ER_cst8644_DMSO_peak_610 (-45938)
F13a1	ER_cst8644_DMSO_peak_222 (-169481)
F5	ER_cst8644_DMSO_peak_45 (-16369)
Fam107b	ER_cst8644_DMSO_peak_460 (-55382)
Fam122a	ER_cst8644_DMSO_peak_443 (+23641), ER_cst8644_DMSO_peak_442 (+23833), ER_cst8644_DMSO_peak_441 (+44650)
Fam133b	ER_cst8644_DMSO_peak_617 (-46106), ER_cst8644_DMSO_peak_618 (-44881), ER_cst8644_DMSO_peak_619 (-42083), ER_cst8644_DMSO_peak_620 (-41116)
Fam160b1	ER_cst8644_DMSO_peak_456 (-14725), ER_cst8644_DMSO_peak_457 (-14305), ER_cst8644_DMSO_peak_458 (-12743)
Fam210a	ER_cst8644_DMSO_peak_424 (+140127)
Fam221b	ER_cst8644_DMSO_peak_567 (-25755)
Fam46a	ER_cst8644_DMSO_peak_907 (-16127)
Fam49a	ER_cst8644_DMSO_peak_157 (+234750)
Fam49b	ER_cst8644_DMSO_peak_302 (-303527)
Fam84b	ER_cst8644_DMSO_peak_297 (-11445), ER_cst8644_DMSO_peak_296 (+683274)
Fam96a	ER_cst8644_DMSO_peak_894 (+7)
Fancc	ER_cst8644_DMSO_peak_227 (+36776)
Farp1	ER_cst8644_DMSO_peak_267 (-65818)
Fbp1	ER_cst8644_DMSO_peak_227 (-506667)
Fbxl18	ER_cst8644_DMSO_peak_708 (+72024), ER_cst8644_DMSO_peak_707 (+72418)
Fbxo28	ER_cst8644_DMSO_peak_49 (-22326)
Fbxw7	ER_cst8644_DMSO_peak_543 (+245230), ER_cst8644_DMSO_peak_544 (+248988)
Filip1	ER_cst8644_DMSO_peak_906 (-80078)
