Gene Name (Hs),Functional Category,Included in which metabolic enzyme/transporter sets (please add your name if you are adding a new gene)
GYS1,Carbohydrate Storage,In RP
GYS2,Carbohydrate Storage,In RP
PCK1,Carbohydrate Storage,In RP
PCK2,Carbohydrate Storage,In RP
UGP2,Carbohydrate Storage,In RP
CYP51A1,Cholesterol,In RP
DHCR24,Cholesterol,In RP
DHCR7,Cholesterol,In RP
EBP,Cholesterol,In RP
EBPL,Cholesterol,In RP
FDFT1,Cholesterol,In RP
FDPS,Cholesterol,In RP
HSD17B7,Cholesterol,In RP
LBR,Cholesterol,In RP
LCAT,Cholesterol,In RP
LSS,Cholesterol,In RP
NSDHL,Cholesterol,In RP
SC4MOL,Cholesterol,In RP
SC5DL,Cholesterol,In RP
SQLE,Cholesterol,In RP
TM7SF2,Cholesterol,In RP
AACS,CoA,In RP
ACOT1,CoA,In RP
ACOT11,CoA,In RP
ACOT12,CoA,In RP
ACOT2,CoA,In RP
ACOT4,CoA,In RP
ACOT6,CoA,In RP
ACOT7,CoA,In RP
ACOT8,CoA,In RP
ACOT9,CoA,In RP
COASY,CoA,In RP
PANK1,CoA,In RP
PANK2,CoA,In RP
PANK3,CoA,In RP
PANK4,CoA,In RP
PPCDC,CoA,In RP
PPCS,CoA,In RP
AHCY,Cofactor,In RP
AHCYL1,Cofactor,In RP
AHCYL2,Cofactor,In RP
BBOX1,Cofactor,In RP
BTD,Cofactor,In RP
CEL,Cofactor,In RP
CRAT,Cofactor,In RP
CUBN,Cofactor,In RP
CYP24A1,Cofactor,In RP
CYP27B1,Cofactor,In RP
DAK,Cofactor,In RP
FLAD1,Cofactor,In RP
FOLH1,Cofactor,In RP
GPHN,Cofactor,In RP
HLCS,Cofactor,In RP
MOCOS,Cofactor,In RP
MOCS1,Cofactor,In RP
MOCS2,Cofactor,In RP
MOCS3,Cofactor,In RP
NAGS,Cofactor,In RP
RFK,Cofactor,In RP
THTPA,Cofactor,In RP
TPK1,Cofactor,In RP
VKORC1,Cofactor,In RP
VKORC1L1,Cofactor,In RP
MT-ND1,Complex I,In RP
MT-ND2,Complex I,In RP
MT-ND3,Complex I,In RP
MT-ND4,Complex I,In RP
MT-ND4L,Complex I,In RP
MT-ND5,Complex I,In RP
MT-ND6,Complex I,In RP
NDUFA1,Complex I,In RP
NDUFA10,Complex I,In RP
NDUFA11,Complex I,In RP
NDUFA12,Complex I,In RP
NDUFA13,Complex I,In RP
NDUFA2,Complex I,In RP
NDUFA3,Complex I,In RP
NDUFA4,Complex I,In RP
NDUFA4L,Complex I,In RP
NDUFA4L2,Complex I,In RP
NDUFA5,Complex I,In RP
NDUFA6,Complex I,In RP
NDUFA7,Complex I,In RP
NDUFA8,Complex I,In RP
NDUFA9,Complex I,In RP
NDUFAB1,Complex I,In RP
NDUFAF1,Complex I,In RP
NDUFAF2,Complex I,In RP
NDUFB1,Complex I,In RP
NDUFB10,Complex I,In RP
NDUFB11,Complex I,In RP
NDUFB2,Complex I,In RP
NDUFB3,Complex I,In RP
NDUFB4,Complex I,In RP
NDUFB5,Complex I,In RP
NDUFB6,Complex I,In RP
NDUFB7,Complex I,In RP
NDUFB8,Complex I,In RP
NDUFB9,Complex I,In RP
NDUFC1,Complex I,In RP
NDUFC2,Complex I,In RP
NDUFS1,Complex I,In RP
NDUFS2,Complex I,In RP
NDUFS3,Complex I,In RP
NDUFS4,Complex I,In RP
NDUFS5,Complex I,In RP
NDUFS6,Complex I,In RP
NDUFS7,Complex I,In RP
NDUFS8,Complex I,In RP
NDUFV1,Complex I,In RP
NDUFV2,Complex I,In RP
NDUFV3,Complex I,In RP
SDHA,Complex II,In RP
SDHB,Complex II,In RP
SDHC,Complex II,In RP
SDHD,Complex II,In RP
CYC1,Complex III,In RP
CYCS,Complex III,In RP
MT-CYB,Complex III,In RP
UCRC,Complex III,In RP
UQCR,Complex III,In RP
UQCRB,Complex III,In RP
UQCRC1,Complex III,In RP
UQCRC2,Complex III,In RP
UQCRFS1,Complex III,In RP
UQCRH,Complex III,In RP
UQCRQ,Complex III,In RP
COX1,Complex IV,In RP
COX10,Complex IV,In RP
COX11,Complex IV,In RP
COX15,Complex IV,In RP
COX16,Complex IV,In RP
COX17,Complex IV,In RP
COX18,Complex IV,In RP
COX19,Complex IV,In RP
COX2,Complex IV,In RP
COX3,Complex IV,In RP
COX4I1,Complex IV,In RP
COX4I2,Complex IV,In RP
COX5A,Complex IV,In RP
COX5B,Complex IV,In RP
COX6A1,Complex IV,In RP
COX6A2,Complex IV,In RP
COX6B1,Complex IV,In RP
COX6B2,Complex IV,In RP
COX6C,Complex IV,In RP
COX7A1,Complex IV,In RP
COX7A2,Complex IV,In RP
COX7A2L,Complex IV,In RP
COX7B,Complex IV,In RP
COX7B2,Complex IV,In RP
COX7C,Complex IV,In RP
COX8A,Complex IV,In RP
COX8C,Complex IV,In RP
CKB,Creatine,In RP
CKBE,Creatine,In RP
CKM,Creatine,In RP
CKMT1A ,Creatine,In RP
CKMT1B,Creatine,In RP
CKMT2,Creatine,In RP
GAMT,Creatine,In RP
GATM,Creatine,In RP
ADO,Cysteine,In RP
CBS,Cysteine,In RP
CDO1,Cysteine,In RP
CSAD,Cysteine,In RP
CTH,Cysteine,In RP
NFS1,Cysteine,In RP
PCYOX1,Cysteine,In RP
PCYOX1L,Cysteine,In RP
SUOX,Cysteine,In RP
AADAC,Detox,In RP
AADACL1,Detox,In RP
AADACL2,Detox,In RP
AADACL3,Detox,In RP
AADACL4,Detox,In RP
AKR7L,Detox,In RP
BCHE,Detox,In RP
CAT,Detox,In RP
CES1,Detox,In RP
CES2,Detox,In RP
CES3,Detox,In RP
CES7,Detox,In RP
DHDH,Detox,In RP
DPEP1,Detox,In RP
DPEP2,Detox,In RP
DPEP3,Detox,In RP
EPHX1,Detox,In RP
EPHX2,Detox,In RP
FMO1,Detox,In RP
FMO2,Detox,In RP
FMO3,Detox,In RP
FMO4,Detox,In RP
FMO5,Detox,In RP
SOD1,Detox,In RP
SOD2,Detox,In RP
SOD3,Detox,In RP
TPMT,Detox,In RP
UGT1A1,Detox,In RP
UGT1A10,Detox,In RP
UGT1A3,Detox,In RP
UGT1A4,Detox,In RP
UGT1A5,Detox,In RP
UGT1A6,Detox,In RP
UGT1A7,Detox,In RP
UGT1A8,Detox,In RP
UGT1A9,Detox,In RP
UGT2A1,Detox,In RP
UGT2A2,Detox,In RP
UGT2A3,Detox,In RP
UGT2B10,Detox,In RP
UGT2B11,Detox,In RP
UGT2B15,Detox,In RP
UGT2B17,Detox,In RP
UGT2B28,Detox,In RP
UGT2B4,Detox,In RP
UGT2B7,Detox,In RP
UGT3A1,Detox,In RP
UGT3A2,Detox,In RP
ACAA1,Fatty Acid,In RP
ACAA2,Fatty Acid,In RP
ACACA,Fatty Acid,In RP
ACACB,Fatty Acid,In RP
ACAD10,Fatty Acid,In RP
ACAD11,Fatty Acid,In RP
ACAD8,Fatty Acid,In RP
ACAD9,Fatty Acid,In RP
ACADL,Fatty Acid,In RP
ACADM,Fatty Acid,In RP
ACADS,Fatty Acid,In RP
ACADSB,Fatty Acid,In RP
ACADVL,Fatty Acid,In RP
ACAT1,Fatty Acid,In RP
ACAT2,Fatty Acid,In RP
ACBD3,Fatty Acid,In RP
ACBD4,Fatty Acid,In RP
ACBD5,Fatty Acid,In RP
ACBD6,Fatty Acid,In RP
ACBD7,Fatty Acid,In RP
ACOX1,Fatty Acid,In RP
ACOX2,Fatty Acid,In RP
ACOX3,Fatty Acid,In RP
ACOXL,Fatty Acid,In RP
ACSBG1,Fatty Acid,In RP
ACSBG2,Fatty Acid,In RP
ACSF2,Fatty Acid,In RP
ACSF3,Fatty Acid,In RP
ACSL1,Fatty Acid,In RP
ACSL3,Fatty Acid,In RP
ACSL4,Fatty Acid,In RP
ACSL5,Fatty Acid,In RP
ACSL6,Fatty Acid,In RP
ACSM1,Fatty Acid,In RP
ACSM2A,Fatty Acid,In RP
ACSM2B,Fatty Acid,In RP
ACSM3,Fatty Acid,In RP
ACSM4,Fatty Acid,In RP
ACSM5,Fatty Acid,In RP
ACSS1,Fatty Acid,In RP
ACSS2,Fatty Acid,In RP
ACSS3,Fatty Acid,In RP
CLYBL,Itaconate,In RP
CPT1A,Fatty Acid,In RP
CPT1B,Fatty Acid,In RP
CPT1C,Fatty Acid,In RP
CPT2,Fatty Acid,In RP
CYP4A11,Fatty Acid,In RP
CYP4A22,Fatty Acid,In RP
CYP4B1,Fatty Acid,In RP
CYP4F11,Fatty Acid,In RP
CYP4F12,Fatty Acid,In RP
CYP4F2,Fatty Acid,In RP
CYP4F22,Fatty Acid,In RP
CYP4F3,Fatty Acid,In RP
CYP4F8,Fatty Acid,In RP
CYP4V2,Fatty Acid,In RP
CYP4X1,Fatty Acid,In RP
CYP4Z1,Fatty Acid,In RP
DCI,Fatty Acid,In RP
DECR1,Fatty Acid,In RP
DECR2,Fatty Acid,In RP
DGAT1,Fatty Acid,In RP
DGAT2,Fatty Acid,In RP
DGAT2L3,Fatty Acid,In RP
DGAT2L4,Fatty Acid,In RP
DGAT2L6,Fatty Acid,In RP
DGAT2L7,Fatty Acid,In RP
ECH1,Fatty Acid,In RP
ECHDC1,Fatty Acid,In RP
ECHDC2,Fatty Acid,In RP
ECHDC3,Fatty Acid,In RP
ECHS1,Fatty Acid,In RP
EHHADH,Fatty Acid,In RP
ELOVL1,Fatty Acid,In RP
ELOVL2,Fatty Acid,In RP
ELOVL3,Fatty Acid,In RP
ELOVL4,Fatty Acid,In RP
ELOVL5,Fatty Acid,In RP
ELOVL6,Fatty Acid,In RP
ELOVL7,Fatty Acid,In RP
ETFA,Fatty Acid,In RP
ETFB,Fatty Acid,In RP
ETFDH,Fatty Acid,In RP
FA2H,Fatty Acid,In RP
FAAH,Fatty Acid,In RP
FAAH2,Fatty Acid,In RP
FADS1,Fatty Acid,In RP
FADS2,Fatty Acid,In RP
FADS3,Fatty Acid,In RP
FAR1,Fatty Acid,In RP
FAR2,Fatty Acid,In RP
FASN,Fatty Acid,In RP
GPSN2,Fatty Acid,In RP
HACL1,Fatty Acid,In RP
HADH,Fatty Acid,In RP
HADHA,Fatty Acid,In RP
HADHB,Fatty Acid,In RP
LIPC,Fatty Acid,In RP
LIPF,Fatty Acid,In RP
LIPG,Fatty Acid,In RP
LIPH,Fatty Acid,In RP
LIPI,Fatty Acid,In RP
LIPJ,Fatty Acid,In RP
LIPK,Fatty Acid,In RP
LIPM,Fatty Acid,In RP
LIPN,Fatty Acid,In RP
LPL,Fatty Acid,In RP
LPPR2,Fatty Acid,In RP
MCAT,Fatty Acid,In RP
MECR,Fatty Acid,In RP
MGLL,Fatty Acid,In RP
MLYCD,Fatty Acid,In RP
MTTP,Fatty Acid,In RP
OLAH,Fatty Acid,In RP
OXSM,Fatty Acid,In RP
PECI,Fatty Acid,In RP
PECR,Fatty Acid,In RP
PHYH,Fatty Acid,In RP
PHYHD1,Fatty Acid,In RP
PNLIP,Fatty Acid,In RP
PNLIPRP1,Fatty Acid,In RP
PNLIPRP2,Fatty Acid,In RP
PNLIPRP3,Fatty Acid,In RP
PNPLA1,Fatty Acid,In RP
PNPLA2,Fatty Acid,In RP
PNPLA3,Fatty Acid,In RP
PNPLA4,Fatty Acid,In RP
PNPLA5,Fatty Acid,In RP
PNPLA6,Fatty Acid,In RP
PNPLA7,Fatty Acid,In RP
PNPLA8,Fatty Acid,In RP
SCD,Fatty Acid,In RP
SCD5,Fatty Acid,In RP
SCP2,Fatty Acid,In RP
SDR16C6,Fatty Acid,In RP
SDR39U1,Fatty Acid,In RP
SDR42E1,Fatty Acid,In RP
SDR9C7,Fatty Acid,In RP
DHFR,Folate,In RP
DHFRL1,Folate,In RP
FPGS,Folate,In RP
MTHFD1,Folate,In RP
MTHFD1L,Folate,In RP
MTHFD2,Folate,In RP
MTHFD2L,Folate,In RP
MTHFR,Folate,In RP
MTHFS,Folate,In RP
MTHFSD,Folate,In RP
SHMT1,Folate,In RP
SHMT2,Folate,In RP
ALDH18A1,Glutamate,In RP
ALDH5A1,Glutamate,In RP
GAD1,Glutamate,In RP
GAD2,Glutamate,In RP
GADL1,Glutamate,In RP
GLS,Glutamate,In RP
GLS2,Glutamate,In RP
GLUD1,Glutamate,In RP
GLUD2,Glutamate,In RP
GLUL,Glutamate,In RP
OAT,Glutamate,In RP
GCLC,Glutathione,In RP
GCLM,Glutathione,In RP
GPX1,Glutathione,In RP
GPX2,Glutathione,In RP
GPX3,Glutathione,In RP
GPX4,Glutathione,In RP
GPX5,Glutathione,In RP
GPX6,Glutathione,In RP
GPX7,Glutathione,In RP
GPX8,Glutathione,In RP
GSR,Glutathione,In RP
GSS,Glutathione,In RP
GSTA1,Glutathione,In RP
GSTA2,Glutathione,In RP
GSTA3,Glutathione,In RP
GSTA4,Glutathione,In RP
GSTA5,Glutathione,In RP
GSTCD,Glutathione,In RP
GSTK1,Glutathione,In RP
GSTM1,Glutathione,In RP
GSTM2,Glutathione,In RP
GSTM3,Glutathione,In RP
GSTM4,Glutathione,In RP
GSTM5,Glutathione,In RP
GSTO1,Glutathione,In RP
GSTO2,Glutathione,In RP
GSTP1,Glutathione,In RP
GSTT1,Glutathione,In RP
GSTT2,Glutathione,In RP
HAGH,Glutathione,In RP
HAGHL,Glutathione,In RP
MGST1,Glutathione,In RP
MGST2,Glutathione,In RP
MGST3,Glutathione,In RP
A4GALT,Glycan,In RP
A4GNT,Glycan,In RP
ABO,Glycan,In RP
ALG1,Glycan,In RP
ALG10,Glycan,In RP
ALG10B,Glycan,In RP
ALG11,Glycan,In RP
ALG12,Glycan,In RP
ALG13,Glycan,In RP
ALG14,Glycan,In RP
ALG2,Glycan,In RP
ALG3,Glycan,In RP
ALG5,Glycan,In RP
ALG6,Glycan,In RP
ALG8,Glycan,In RP
ALG9,Glycan,In RP
B3GALNT1,Glycan,In RP
B3GALNT2,Glycan,In RP
B3GALT1,Glycan,In RP
B3GALT2,Glycan,In RP
B3GALT4,Glycan,In RP
B3GALT5,Glycan,In RP
B3GALT6,Glycan,In RP
B3GALTL,Glycan,In RP
B3GAT1,Glycan,In RP
B3GAT2,Glycan,In RP
B3GAT3,Glycan,In RP
B3GNT1,Glycan,In RP
B3GNT2,Glycan,In RP
B3GNT3,Glycan,In RP
B3GNT4,Glycan,In RP
B3GNT5,Glycan,In RP
B3GNT6,Glycan,In RP
B3GNT7,Glycan,In RP
B3GNT8,Glycan,In RP
B3GNT9,Glycan,In RP
B3GNTL1,Glycan,In RP
B4GALNT1,Glycan,In RP
B4GALNT2,Glycan,In RP
B4GALNT3,Glycan,In RP
B4GALNT4,Glycan,In RP
B4GALT1,Glycan,In RP
B4GALT2,Glycan,In RP
B4GALT3,Glycan,In RP
B4GALT4,Glycan,In RP
B4GALT5,Glycan,In RP
B4GALT6,Glycan,In RP
B4GALT7,Glycan,In RP
C1GALT1,Glycan,In RP
CTBS,Glycan,In RP
DAD1,Glycan,In RP
DDOST,Glycan,In RP
DHDDS,Glycan,In RP
DOLK,Glycan,In RP
DOLPP1,Glycan,In RP
DPAGT1,Glycan,In RP
FN3K,Glycan,In RP
FN3KRP,Glycan,In RP
FUT1,Glycan,In RP
FUT10,Glycan,In RP
FUT11,Glycan,In RP
FUT2,Glycan,In RP
FUT3,Glycan,In RP
FUT4,Glycan,In RP
FUT5,Glycan,In RP
FUT6,Glycan,In RP
FUT7,Glycan,In RP
FUT8,Glycan,In RP
FUT9,Glycan,In RP
GALE,Glycan,In RP
GALNT1,Glycan,In RP
GALNT10,Glycan,In RP
GALNT11,Glycan,In RP
GALNT12,Glycan,In RP
GALNT13,Glycan,In RP
GALNT14,Glycan,In RP
GALNT2,Glycan,In RP
GALNT3,Glycan,In RP
GALNT4,Glycan,In RP
GALNT5,Glycan,In RP
GALNT6,Glycan,In RP
GALNT7,Glycan,In RP
GALNT8,Glycan,In RP
GALNT9,Glycan,In RP
GALNTL1,Glycan,In RP
GALNTL2,Glycan,In RP
GALNTL4,Glycan,In RP
GALNTL5,Glycan,In RP
GALNTL6,Glycan,In RP
GANAB,Glycan,In RP
GANC,Glycan,In RP
GBA,Glycan,In RP
GBA2,Glycan,In RP
GBA3,Glycan,In RP
GBGT1,Glycan,In RP
GCNT1,Glycan,In RP
GCNT2,Glycan,In RP
GCNT3,Glycan,In RP
GCNT4,Glycan,In RP
GCNT6,Glycan,In RP
GCNT7,Glycan,In RP
GCS1,Glycan,In RP
GLT1D1,Glycan,In RP
GLT25D1,Glycan,In RP
GLT25D2,Glycan,In RP
GLT6D1,Glycan,In RP
GLT8D1,Glycan,In RP
GLT8D2,Glycan,In RP
GLT8D3,Glycan,In RP
GLT8D4,Glycan,In RP
GTDC1,Glycan,In RP
GYLTL1B,Glycan,In RP
HAS1,Glycan,In RP
HAS2,Glycan,In RP
HAS3,Glycan,In RP
LARGE,Glycan,In RP
LYCAT,Glycan,In RP
MFNG,Glycan,In RP
MGAT1,Glycan,In RP
MGAT2,Glycan,In RP
MGAT3,Glycan,In RP
MGAT4A,Glycan,In RP
MGAT4B,Glycan,In RP
MGAT4C,Glycan,In RP
MGAT5,Glycan,In RP
MGAT5B,Glycan,In RP
NAGA,Glycan,In RP
NAGPA,Glycan,In RP
POFUT1,Glycan,In RP
POFUT2,Glycan,In RP
POMGNT1,Glycan,In RP
POMT1,Glycan,In RP
POMT2,Glycan,In RP
ST3GAL1,Glycan,In RP
ST3GAL2,Glycan,In RP
ST3GAL3,Glycan,In RP
ST3GAL4,Glycan,In RP
ST3GAL5,Glycan,In RP
ST3GAL6,Glycan,In RP
ST6GAL1,Glycan,In RP
ST6GAL2,Glycan,In RP
ST6GALNAC1,Glycan,In RP
ST6GALNAC2,Glycan,In RP
ST6GALNAC3,Glycan,In RP
ST6GALNAC4,Glycan,In RP
ST6GALNAC5,Glycan,In RP
ST6GALNAC6,Glycan,In RP
ST8SIA1,Glycan,In RP
ST8SIA2,Glycan,In RP
ST8SIA3,Glycan,In RP
ST8SIA4,Glycan,In RP
ST8SIA5,Glycan,In RP
ST8SIA6,Glycan,In RP
WBSCR17,Glycan,In RP
XYLT1,Glycan,In RP
XYLT2,Glycan,In RP
DPM1,Glycan Anchor,In RP
DPM2,Glycan Anchor,In RP
DPM3,Glycan Anchor,In RP
GPLD1,Glycan Anchor,In RP
PIGA,Glycan Anchor,In RP
PIGB,Glycan Anchor,In RP
PIGC,Glycan Anchor,In RP
PIGF,Glycan Anchor,In RP
PIGG,Glycan Anchor,In RP
PIGH,Glycan Anchor,In RP
PIGK,Glycan Anchor,In RP
PIGL,Glycan Anchor,In RP
PIGM,Glycan Anchor,In RP
PIGN,Glycan Anchor,In RP
PIGO,Glycan Anchor,In RP
PIGP,Glycan Anchor,In RP
PIGQ,Glycan Anchor,In RP
PIGS,Glycan Anchor,In RP
PIGT,Glycan Anchor,In RP
PIGU,Glycan Anchor,In RP
PIGV,Glycan Anchor,In RP
PIGW,Glycan Anchor,In RP
PIGX,Glycan Anchor,In RP
PIGY,Glycan Anchor,In RP
PIGZ,Glycan Anchor,In RP
AGA,Glycan Degradation,In RP
EDEM1,Glycan Degradation,In RP
EDEM2,Glycan Degradation,In RP
EDEM3,Glycan Degradation,In RP
FLJ21865,Glycan Degradation,In RP
FUCA1,Glycan Degradation,In RP
FUCA2,Glycan Degradation,In RP
GALNS,Glycan Degradation,In RP
GLA,Glycan Degradation,In RP
GLB1,Glycan Degradation,In RP
GLB1L,Glycan Degradation,In RP
GLB1L2,Glycan Degradation,In RP
GLB1L3,Glycan Degradation,In RP
GNS,Glycan Degradation,In RP
GUSB,Glycan Degradation,In RP
HEXA,Glycan Degradation,In RP
HEXB,Glycan Degradation,In RP
HEXDC,Glycan Degradation,In RP
HYAL1,Glycan Degradation,In RP
HYAL2,Glycan Degradation,In RP
HYAL3,Glycan Degradation,In RP
HYAL4,Glycan Degradation,In RP
IDS,Glycan Degradation,In RP
IDUA,Glycan Degradation,In RP
LYG1,Glycan Degradation,In RP
LYZ,Glycan Degradation,In RP
LYZL1,Glycan Degradation,In RP
LYZL2,Glycan Degradation,In RP
LYZL4,Glycan Degradation,In RP
LYZL6,Glycan Degradation,In RP
MAN1A1,Glycan Degradation,In RP
MAN1A2,Glycan Degradation,In RP
MAN1B1,Glycan Degradation,In RP
MAN1C1,Glycan Degradation,In RP
MAN2A1,Glycan Degradation,In RP
MAN2A2,Glycan Degradation,In RP
MAN2B1,Glycan Degradation,In RP
MAN2B2,Glycan Degradation,In RP
MAN2C1,Glycan Degradation,In RP
MANBA,Glycan Degradation,In RP
MANBAL,Glycan Degradation,In RP
MANEA,Glycan Degradation,In RP
MANEAL,Glycan Degradation,In RP
NAGLU,Glycan Degradation,In RP
NEU1,Glycan Degradation,In RP
NEU2,Glycan Degradation,In RP
NEU3,Glycan Degradation,In RP
NEU4,Glycan Degradation,In RP
CHPF,Glycan Sulfate,In RP
CHPF2,Glycan Sulfate,In RP
CHST1,Glycan Sulfate,In RP
CHST10,Glycan Sulfate,In RP
CHST11,Glycan Sulfate,In RP
CHST12,Glycan Sulfate,In RP
CHST13,Glycan Sulfate,In RP
CHST14,Glycan Sulfate,In RP
CHST2,Glycan Sulfate,In RP
CHST3,Glycan Sulfate,In RP
CHST4,Glycan Sulfate,In RP
CHST5,Glycan Sulfate,In RP
CHST6,Glycan Sulfate,In RP
CHST7,Glycan Sulfate,In RP
CHST8,Glycan Sulfate,In RP
CHST9,Glycan Sulfate,In RP
CHSY1,Glycan Sulfate,In RP
CHSY3,Glycan Sulfate,In RP
CSGALNACT1,Glycan Sulfate,In RP
CSGALNACT2,Glycan Sulfate,In RP
GAL3ST1,Glycan Sulfate,In RP
GAL3ST2,Glycan Sulfate,In RP
GAL3ST3,Glycan Sulfate,In RP
GAL3ST4,Glycan Sulfate,In RP
SGSH,Glycan Sulfate,In RP
SULF1,Glycan Sulfate,In RP
SULF2,Glycan Sulfate,In RP
UST,Glycan Sulfate,In RP
AMT,Glycine,In RP
BHMT,Glycine,In RP
BHMT2,Glycine,In RP
DMGDH,Glycine,In RP
GCSH,Glycine,In RP
GLDC,Glycine,In RP
SARDH,Glycine,In RP
ADPGK,Glycolysis,In RP
ALDOA,Glycolysis,In RP
ALDOB,Glycolysis,In RP
ALDOC,Glycolysis,In RP
BPGM,Glycolysis,In RP
DLAT,Glycolysis,In RP
ENO1,Glycolysis,In RP
ENO2,Glycolysis,In RP
ENO3,Glycolysis,In RP
GAPDH,Glycolysis,In RP
GAPDHS,Glycolysis,In RP
GCK,Glycolysis,In RP
GPI,Glycolysis,In RP
