# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "10" "-p" "-O" "-M" "--fraction" "-F" "SAF" "-a" "230907_all_genebodies.saf" "-o" "230920_bd302_pol2_at_genebodies.txt" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_DMSO_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_BRQ_1uM_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_E2wd_24h_aligned_sorted_rmdup_noblacklist.bam" "/home/briando/data/files/211201Van/results/bowtie2_bam/IgG_dsDNA_Mixed_aligned_sorted_rmdup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_DMSO_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_BRQ_1uM_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/220211VanA/mm10/results/bowtie2_bam/ERHoxa9_PolIIS2_E2wd_24h_aligned_sorted_rmdup_noblacklist.bam	/home/briando/data/files/211201Van/results/bowtie2_bam/IgG_dsDNA_Mixed_aligned_sorted_rmdup.bam
Osbpl9	chr4	109061145	109202022	-	140878	2101.50	1752	1212	470.50
Gm11944	chr11	3309246	3320722	+	11477	674.50	641	337.50	41
5830417I10Rik	chr3	88775466	88825587	+	50122	655	536	360.50	114.50
Gm10874	chr5	138363969	138388287	+	24319	231	164	147	80
Dynlt1a	chr17	6306340	6317250	-	10911	277.50	264	162.50	57.50
Gm20605	chr5	137629425	137642902	+	13478	328	439	182.50	52.50
AU040320	chr4	126753794	126870070	+	116277	1883.50	1496.50	1051.50	371
Ppp1r8	chr4	132826929	132842919	-	15991	381	313	212	58
Smpdl3b	chr4	132732966	132757002	-	24037	392	372	236	82
Ino80dos	chr1	63114721	63158290	+	43570	2581	2186	1525	112.50
Bsdc1	chr4	129461831	129488498	+	26668	452	477	262	76
Tomm6os	chr17	47687860	47691083	+	3224	115	121	61.50	16
Slc44a1	chr4	53440663	53622478	+	181816	1751	1390	883	600
Mob3c	chr4	115828342	115836185	+	7844	190	171	112	22
Zfand2a	chr5	139471211	139484299	-	13089	259	237	194	72
Gm15545	chr7	44987150	44994597	+	7448	242.50	176	136.50	31
C130060C02Rik	chr19	15985328	16010696	+	25369	399	288	194	133
Gm17399	chr9	118150481	118170376	+	19896	330	195	162	62
1700007L15Rik	chr16	33379854	33380477	-	624	28	15	10	7
Kifc1	chr17	33875659	33890411	-	14753	341	352	182	58
Rpl37rt	chr5	115102923	115110018	-	7096	444	284.50	237	21
Epg5	chr18	77938715	78035013	+	96299	1371	1404	1041	321
Gm10814	chr19	6012870	6018462	+	5593	139.50	138.50	69	33
Gm17484	chr8	25754730	25769704	+	14975	310	238.50	155	40
Armcx4	chrX	134686769	134696757	+	9989	133	87	73	66
Klhl3	chr13	58000228	58113342	-	113115	1043	812	516	398
A930006K02Rik	chr16	91465275	91470128	+	4854	87	59	49	9
Gm15471	chr3	103803379	103808439	+	5061	57	69.50	66	10.50
2810013P06Rik	chr8	123042716	123044602	+	1887	49	34.50	22	2.50
5430416N02Rik	chr5	100420842	100429285	-	8444	500	318	263	56
Gm11423	chr11	82779601	82780792	-	1192	32	19	19	6
Gm10390	chr5	120121096	120139013	-	17918	194.50	138.50	84.50	55
A930016O22Rik	chr7	19417466	19421167	-	3702	40.50	22.50	21	8
Gm16675	chr8	46668808	46739265	-	70458	684	493	370	269
Bbip1	chr19	53929861	53944377	-	14517	729.50	1384	405.50	75.50
Fsbp	chr4	11579915	11587591	+	7677	46.50	46.50	29.50	10.50
Gm16845	chr9	22071252	22086122	+	14871	227.50	193	115.50	55
Rpl5	chr5	107900752	107909005	+	8254	741	636	313	50
Gm16861	chr16	4935049	4939383	-	4335	104	120.50	57	9.50
Gm13056	chr4	141278689	141279794	+	1106	31	40	5	7
Gm16973	chr14	56696280	56701018	-	4739	218	152.50	89	14
Sp3os	chr2	72979674	72988677	+	9004	266.50	319.50	177.50	38
Gm5901	chr7	105375288	105378377	+	3090	36	38	42	9
Ccdc149	chr5	52374651	52471271	-	96621	932	789	608	493
Pet100	chr8	3621798	3625848	+	4051	61	64	38	8
Smpd5	chr15	76294598	76296896	+	2299	32.50	51	23.50	10.50
Fcor	chr8	3671188	3672112	-	925	33	15	15	7
Gm15787	chr5	110155012	110176254	-	21243	435.50	360.50	237	52
Gm16740	chr3	95217707	95226658	+	8952	244	277	86	21.50
Gm15559	chr5	110771199	110779260	+	8062	202.50	228	124	24
Gm15915	chr10	93674218	93683072	-	8855	60	52	37	32
Gm16062	chr11	59810330	59818491	+	8162	302.50	198.50	152	36.50
4933421O10Rik	chr4	33027142	33031073	-	3932	40	30	20	12
Dhrs13os	chr11	78030012	78032415	-	2404	264.50	270.50	111.50	10
Gm16576	chr15	79742948	79757394	+	14447	295	279	174	63
Gm15708	chr5	144277311	144280513	+	3203	49	45	24.50	13.50
Gm15350	chr8	12828335	12833615	-	5281	71	88.50	31	15.50
2210418O10Rik	chr2	176226823	176238721	+	11899	26	24.50	23	12.50
Trp53cor1	chr17	29057430	29078929	-	21500	509	429	253	91
Gm16712	chr17	55954771	55959131	-	4361	93	84.50	32	18
D730003I15Rik	chr1	191224704	191225835	+	1132	17	19	16	8
Dcdc2b	chr4	129608331	129614007	-	5677	145	99.50	68.50	10
Gm20257	chr1	58652891	58655831	+	2941	45	34	27	11
Gm15987	chr6	128951204	128974779	-	23576	160	115	100	74
1700101I11Rik	chr6	129532094	129533034	-	941	24	15	10	4
Atg14	chr14	47540893	47570399	-	29507	367	346	220	112
Tmppe	chr9	114401355	114407276	+	5922	54	55.50	25	16
Gm11127	chr17	36055816	36058121	-	2306	14	17	17	14
Rell1	chr5	63908897	63968647	-	59751	994	988	614	308
Fer1l5	chr1	36372541	36422110	+	49570	725.50	616.50	398	172
Slc15a4	chr5	127595664	127632647	-	36984	871	973	477	210
Lrrc8c	chr5	105519638	105613018	+	93381	1990	1598	901	529
Noc4l	chr5	110648418	110653167	-	4750	178	118.50	89.50	36
Nsun5	chr5	135370203	135376805	+	6603	277.50	246	134.50	45
N4bp2l1	chr5	150571644	150596938	-	25295	722	633	476	157
Gm15446	chr5	109923650	109943936	+	20287	128	96	72	31
Psph	chr5	129765558	129787199	-	21642	602.50	402.50	284.50	111.50
Trrap	chr5	144768342	144859778	+	91437	2223	2131	1151	514
Spon2	chr5	33198184	33218205	-	20022	386	255	148	122
Gbp6	chr5	105270702	105293448	-	22747	193	164	145	86
Acacb	chr5	114146785	114250761	+	103977	1561	1238	815	587
Pds5b	chr5	150673989	150810690	+	136702	3090	2655	1588	506
Dcun1d4	chr5	73481250	73560794	+	79545	1476	1251	630	399
Usp30	chr5	114065764	114124720	+	58957	898	765.50	489	332.50
Ube3c	chr5	29569492	29676092	+	106601	2886	2108	1404	441
Rita1	chr5	120594305	120612339	-	18035	526	504	274	118
Tbc1d14	chr5	36490604	36593026	-	102423	2953	3214	1626.50	578.50
Gm20604	chr12	102741732	102758422	-	16691	411.50	444.50	192	50
Gm21188	chr13	120034605	120051944	-	17340	67	90	91	46
Gm6712	chr17	17294693	17319511	+	24819	204	178	145	63
Hscb	chr5	110829070	110839527	-	10458	256	216	109	53
Chpf2	chr5	24586991	24594395	+	7405	203	165.50	103	31.50
Tyw1	chr5	130255869	130341563	+	85695	1820	1305	973	386
Emilin1	chr5	30913652	30921277	+	7626	464	646	231	64
Rab28	chr5	41624976	41707907	-	82932	1113	906	698	299
Nfxl1	chr5	72513301	72559434	-	46134	699	518	399	169
Akap9	chr5	3928304	4081310	+	153007	4025	3388.50	2142.50	645
Zfp513	chr5	31198981	31202053	-	3073	531.50	319.50	248	32.50
Zfp282	chr6	47877454	47908485	+	31032	534	450	268	112
Ttll3	chr6	113389510	113414587	+	25078	964.50	862	599	99
Snx21	chr2	164786073	164793816	+	7744	269	212.50	133.50	33
Tmem168	chr6	13580687	13607850	-	27164	343	321	194	46
Rpusd3	chr6	113415319	113419090	-	3772	268	321	157	23
Itfg2	chr6	128409444	128424681	-	15238	365	184	137.50	39.50
Pot1a	chr6	25743737	25808996	-	65260	670	516	361	139
Parp11	chr6	127447090	127494261	+	47172	581	487	374	146
Zfp956	chr6	47953640	47965300	+	11661	185	161	103	51
Tada3	chr6	113366025	113377633	-	11609	331	375	172	45
Tra2a	chr6	49243924	49263783	-	19860	522	418	296	68
Wdr91	chr6	34880426	34910626	-	30201	443	359	202	121
Brk1	chr6	113605022	113616951	+	11930	251	203	153	42
Eogt	chr6	97110024	97148932	-	38909	362	251	212	102
Fbxl14	chr6	119479918	119482630	+	2713	79	96	40	12
Dhx32	chr7	133720942	133782476	-	61535	727	421.50	348	191
Phrf1	chr7	141229034	141262750	+	33717	979	903	519.50	141
Plekha1	chr7	130866006	130913312	+	47307	515	320	309	146
Slco2b1	chr7	99657804	99711090	-	53287	667	473	317	196
Inpp5f	chr7	128611578	128696425	+	84848	1356.50	1065.50	751.50	284.50
Plekhg2	chr7	28359604	28372349	-	12746	282	273	193	42
Hsd3b7	chr7	127799641	127803802	+	4162	107.50	101	41.50	9
Mob2	chr7	142008535	142060815	-	52281	1132	1061	634	182
Prkd2	chr7	16843152	16870464	+	27313	460	430	264	112
Ccp110	chr7	118712802	118737024	+	24223	262	199	157	75
Vrk3	chr7	44748663	44777515	+	28853	479	450	288	87
AI467606	chr7	127091609	127093986	+	2378	119	100	65	13
E430018J23Rik	chr7	127389673	127393379	-	3707	59	55	31	15
Grwd1	chr7	45825223	45830694	-	5472	93	94	49	40
Pwwp2b	chr7	139248732	139267975	+	19244	366	286	189	103
Spty2d1	chr7	46990396	47008161	-	17766	346	291	195	77
Trim68	chr7	102677582	102687077	-	9496	82	59	54	39
Numa1	chr7	101934361	102014964	+	80604	2175.50	2028	1193	274
Psip1	chr4	83455680	83486209	-	30530	729	577.50	328	70.50
Spred3	chr7	29158829	29169591	-	10763	166	174	105	38
AW146154	chr7	41478874	41499640	-	20767	130	98	116	50
Ints4	chr7	97481206	97541395	+	60190	824	644	444	189
Rrp8	chr7	105731730	105737135	-	5406	137.50	114.50	78	25.50
Unc45a	chr7	80325292	80345759	-	20468	484.50	522.50	324.50	98
Sf3b3	chr8	110810239	110846537	-	36299	1456	1318	746.50	103.50
D8Ertd738e	chr8	84246238	84249469	-	3232	155	77	69	15
Usb1	chr8	95332534	95347507	+	14974	198	207	150	57
Champ1	chr8	13869891	13881639	+	11749	221	163	87	34
Smim19	chr8	22462614	22476632	-	14019	170	111	84.50	41
Exoc8	chr8	124893108	124897455	-	4348	231	189	127	25
Gadd45gip1	chr8	84831772	84835482	+	3711	239.50	102	128.50	15.50
Phkb	chr8	85841209	86061376	+	220168	2199	2117	1533	602
Arhgef18	chr8	3353665	3456601	+	102937	2841	2971	1523	400
Mtus1	chr8	40990914	41133476	-	142563	1577.50	2780	1558	467
Dohh	chr10	81384678	81391560	+	6883	265	236	138	34
Enkd1	chr8	105703651	105707960	-	4310	107	92.50	59	18.50
Snx25	chr8	46033261	46151909	-	118649	1328	902.50	766	384
Taf5l	chr8	123996318	124021147	-	24830	260	230	128	41.50
Zdhhc7	chr8	120080890	120101232	-	20343	156.50	151.50	75.50	46
Snapc2	chr8	4253330	4256220	+	2891	134	69	54	16
Ak6	chr13	100651229	100666359	+	15131	345	278	212	50
Gm28042	chr2	120027743	120043033	+	15291	196	207	103.33	71
Lbhd1	chr19	8883982	8892627	+	8646	584.83	421.33	229.50	38.33
Dcun1d2	chr8	13255963	13287881	-	31919	588	506	302	129
Ankrd10	chr8	11611583	11635507	-	23925	777	656	320	89
Cog4	chr8	110846850	110882227	+	35378	731	695	425.50	143.50
Clk3	chr9	57750624	57765610	-	14987	656.50	563.50	335.50	61.50
Hinfp	chr9	44292440	44305421	-	12982	360	350	218	34
Lars2	chr9	123367177	123462666	+	95490	3436	2411	2253	507
Dennd4a	chr9	64811590	64919667	+	108078	1938	1784	1421	326
Xndc1	chr7	102065761	102083765	+	18005	332	259.50	165.50	74
Xylb	chr9	119357631	119393797	+	36167	343	372	213	150
Imp3	chr9	56937725	56938398	+	674	32	20	17	6
Cmtm7	chr9	114756836	114781606	-	24771	2708	3804	1188	103
Ano10	chr9	122175874	122294173	-	118300	1675	1646	894	451
Alg9	chr9	50775269	50843542	+	68274	1019	918	451	247
Plekho2	chr9	65552698	65579790	-	27093	657	840	383	99
Snx19	chr9	30427358	30466733	+	39376	427	290	216	112
Mapkapk3	chr9	107254927	107289627	-	34701	1473	1951	907	115
Acad11	chr9	104063627	104127725	+	64099	399.50	312.50	218	113
Gm2245	chr15	6604341	6654053	-	49713	325	654.50	172	75
A730081D07Rik	chr13	40956414	41000901	-	44488	539.50	456.50	305.50	130.50
Gm16104	chr10	81409825	81411579	+	1755	64	60	29.50	8
Gm28626	chr1	86303195	86303809	-	615	36.50	22	7	5.50
Gm16573	chr14	56607261	56620263	-	13003	71	65.50	56	23.50
Gm20544	chr18	75365332	75366838	-	1507	35	47	18	15
Gm15326	chr13	111868186	111871937	+	3752	38	20	14	13
Gm26839	chr12	99564046	99620038	+	55993	499	430	277	183
Ptgs2os2	chr1	150159043	150164698	-	5656	77	36	29	15
2810414N06Rik	chr1	151748949	151754768	-	5820	190	196	86	28
Rsf1os2	chr7	97650010	97696578	-	46569	592	516.50	312	84.50
Oaf	chr9	43221235	43239661	-	18427	357	422	173	66
Cd276	chr9	58524298	58555187	-	30890	487	380	219	161
Phldb1	chr9	44686304	44734948	-	48645	831	699	421	224
Lrrc49	chr9	60568859	60687908	-	119050	723	514	414	336
Bbs4	chr9	59321990	59353258	-	31269	471	299	277.50	80.50
Tcta	chr9	108302958	108305910	-	2953	97	64	58	19
Slc6a8	chrX	73673400	73682502	+	9103	281	180	119	69
Gm21992	chr19	4742913	4811362	-	68450	3442.33	2704.17	1653.17	225.33
Cenpi	chrX	134308334	134362639	+	54306	831	629	428	236
Firre	chrX	50555744	50635071	-	79328	2114	1491	942	505
Pan2	chr10	128303585	128321358	+	17774	415	346	206	75
Pwp1	chr10	85829744	85889096	+	59353	672	449	398	230
Gstt3	chr10	75771451	75781164	-	9714	144	110	65	27.50
Chchd10	chr10	75933380	75937747	+	4368	59.50	26.50	30	13
Fig4	chr10	41188172	41303010	-	114839	1201	788	607	343
Traf3ip2	chr10	39613184	39655307	+	42124	331.50	271.50	180.50	84.50
Csnk1g2	chr10	80623088	80640749	+	17662	524	502	329	82
Tmem263	chr10	85102877	85120618	+	17742	262.50	235	158.50	45
Cep57l1	chr10	41718840	41809621	-	90782	907	744	538	262
Zc3h10	chr10	128541963	128547524	-	5562	306	179	144	21
Ncln	chr10	81486249	81496142	-	9894	354	362	229	44
Nt5dc3	chr10	86764222	86838389	+	74168	898	766	476	250
Nup107	chr10	117750621	117792455	-	41835	1099	1282	565	145
Mgat4b	chr11	50211140	50235103	+	23964	679	610	418	119
Mbtd1	chr11	93886102	93946985	+	60884	1439	1219	788	147
Psme4	chr11	30771976	30880361	+	108386	1481	1327	813	223
Xpo1	chr11	23256291	23298249	+	41959	1424	1308	735	114
Fbxw11	chr11	32642974	32746816	+	103843	2332	2165	1639	335
Smg6	chr11	74926073	75164448	+	238376	3917	3500	2118	767
Tmed4	chr11	6270369	6274620	-	4252	82	58	42	16
Slc35e4	chr11	3907021	3914414	-	7394	275	196	102	46
Pnpo	chr11	96937825	96943736	-	5912	54.50	57.50	38.50	11
Tbc1d10a	chr11	4187039	4215505	+	28467	603	490	288	122
Tubg1	chr11	101120188	101126419	+	6232	121	106	66	25
Pex12	chr11	83294642	83302336	-	7695	226	178.50	99	29.50
Mien1	chr11	98437708	98438741	-	1034	16	11	13	5
Maml1	chr11	50255634	50292061	-	36428	1178	1015	677	128
Zfp692	chr11	58307319	58314627	+	7309	176	119	101	27
Cuedc1	chr11	88099396	88194140	+	94745	2194	2480	1001	411
Nt5m	chr11	59839697	59880968	+	41272	853.50	623	445	177
Rpn1	chr6	88084732	88105304	+	20573	670	575	295	87
Qsox1	chr1	155778158	155812639	-	34482	446	326	185	156
Synj1	chr16	90936092	91011058	-	74967	1177	1213.50	775	235
Wdr7	chr18	63708935	63989776	+	280842	2294	2076.50	1476	754
Itga9	chr9	118606940	118901003	+	294064	3453	2511	1546	1109
Adcy4	chr14	55769057	55783845	-	14789	264	340	358	56
Adcy3	chr12	4133353	4213525	+	80173	945.50	770.50	497	256.50
Acly	chr11	100476353	100527750	-	51398	1876	2134	842	195
Ndufb11	chrX	20615326	20617369	-	2044	38	40.50	21.50	13
Etv5	chr16	22381309	22439469	-	58161	798	479	380	190
Ces1d	chr8	93166068	93197588	-	31521	149	107	98	92
Sbk1	chr7	126249112	126295016	+	45905	666	558	355	197
Chil4	chr3	106201490	106219257	-	17768	279	166	154	85
Blmh	chr11	76925059	76987379	+	62321	1033	739	565	218
Rhoq	chr17	86963332	87000069	+	36738	612.50	594	302	127.50
Cabin1	chr10	75646112	75764066	-	117955	2576	2207	1208	430
Cdc42ep2	chr19	5915636	5924566	-	8931	300	246	182	53
Kdm3a	chr6	71588972	71632740	-	43769	1077	939	820	120
Arl1	chr10	88731108	88744094	+	12987	246	189	137	41
Csnk1d	chr11	120958990	120991080	-	32091	1184.50	929.50	760	122.50
Gas8	chr8	123519084	123536650	+	17567	123	113.50	83	29.50
Zfp120	chr2	150114406	150136458	-	22053	236	200	156	52
Zfp119a	chr17	55864892	55878680	-	13789	165	148	109	53
Isl2	chr9	55538922	55546180	+	7259	69	70	32	31
Rcor2	chr19	7267575	7275225	+	7651	506.50	396.50	271.50	50.50
E2f4	chr8	105297913	105305370	+	7458	227	251	128	32
Bap1	chr14	31251700	31259944	+	8245	183	149	82	29
Dgkz	chr2	91932824	91975614	-	42791	1462	1564	716	200
Rexo2	chr9	48468512	48480373	-	11862	159	111	106	41
0610010K14Rik	chr11	70235206	70239580	-	4375	117	164	74.50	19.50
Rars	chr11	35808381	35834256	-	25876	521	356	248	81
Ccdc117	chr11	5528887	5541937	-	13051	406	280	301	47
Cnot6	chr11	49671503	49712473	-	40971	906	715	465	126
Tsr1	chr11	74898321	74909342	+	11022	388	258	199	32
Slc16a6	chr11	109450855	109473348	-	22494	643.50	664	395.50	97
Pik3r6	chr11	68503269	68552698	+	49430	555	635	256	176
Ttc7b	chr12	100300770	100520576	-	219807	3245	3047	1773	777
Ddx1	chr12	13216973	13248963	-	31991	466	343	227	79
Sptssa	chr12	54645392	54656323	-	10932	186	154	139	30
Pld4	chr12	112760905	112768990	+	8086	111	104	59	47
Jkamp	chr12	72085839	72101461	+	15623	183	126	107	40
Aldh6a1	chr12	84430717	84450754	-	20038	249	242	140	60
Vipas39	chr12	87238868	87266006	-	27139	395	310	220	87
Fancm	chr12	65075853	65132058	+	56206	1154	927	536	169
Ptpn23	chr9	110385082	110407963	-	22882	476	419.50	301	103
Cbll1	chr12	31484829	31499366	-	14538	278	212	142	42
Tecpr2	chr12	110889514	110972394	+	82881	1416	1309	885	297
Spata7	chr12	98628407	98669815	+	41409	364	207	181	103
Tdp1	chr12	99884767	99955219	+	70453	957	621	503	240
Slc25a47	chr12	108836332	108856815	+	20484	603	433	332	89
Adi1	chr12	28675481	28682175	+	6695	168	135	63	26
Dnal1	chr12	84114616	84147498	+	32883	456	322	252	101
Rdh14	chr12	10391022	10395562	+	4541	62	33	21	15
Pelo	chr13	115088355	115101671	-	13317	37.50	23	27.50	29
Iars	chr13	49682350	49734267	+	51918	1098	681	583	147
Arrdc3	chr13	80883634	80896042	+	12409	257	232	120	67
Nhlrc1	chr13	47012557	47014600	-	2044	23	23	14	8
Rnf44	chr13	54679399	54693657	-	14259	656	597	317	83
